,orderID,namaPesanan,recommendationShown,recommendationAccepted
128,1zXKEBqF04pnZp3497g5,['kopi'],False,True
129,20ctWfmlbjsnZLmgwxO6,"['pisang coklat keju', 'teh']",True,False
130,20rv9JMtaRAWGAK68HiT,"['mie', 'nasi putih']",True,False
131,26AuCYgLHFWYEq11Gf9z,"['sayur harian', 'es jeruk']",True,False
132,26iaI3JsVDmYTBRw38B0,['teh'],True,False
133,274osXuevVV97leZJHgL,"['penyetan', 'float', 'pisang coklat keju', 'gorengan', 'teh']",True,False
134,27ZM7bRaqcgEiPbxvb8M,['air putih'],True,False
135,28jjEECqIiOqFzYQmrz1,['pisang coklat keju'],True,False
136,2D8tpQofeUu5J0xrMZSB,"['float', 'risol mayo']",True,False
137,2EbMADpM8bZV0wpALtuY,"['mie', 'kopi', 'cireng isi', 'gorengan']",True,False
138,2FRCZLKUxwP8UTGjfCwX,"['kopi', 'kopi']",False,False
139,2GdhzEXEzHjqk0WXOT8l,"['mie', 'mie', 'risol mayo', 'teh', 'cireng isi']",True,False
140,2HBSuwi7c3jkzaf07hB6,"['kopi', 'sosis goreng', 'mie']",True,False
141,2Hnql1g8XTiZALUNeBS9,['risol mayo'],True,False
142,2JqgKvcqWH9KlAq5PGhH,"['teh', 'teh', 'risol mayo', 'pisang coklat keju']",False,False
143,2KAtSAO63VW72vfYKns0,"['penyetan', 'float']",True,True
144,2LHsbzNP5kv2fkAKtTQX,['risol mayo'],True,False
145,2LSUBMQzvxn60VnzgXLR,"['french fries', 'kopi', 'air putih']",False,False
146,2LyRK1I2ZPJg8qfOaDcV,['risol mayo'],True,False
147,2MyqgowqkrBBi4zcS7vH,"['sayur harian', 'es jeruk']",True,False
148,2NPBtDYIKbG7JtdRH4CK,"['gorengan', 'cireng isi']",True,False
149,2NWNVJPH24VdXkfBPsYT,"['mie', 'risol mayo']",True,False
150,2NfPcmaCRV8XJLSTvmWE,"['sayur harian', 'teh']",True,False
151,2P6oAl9l02XgEkk6z1MW,"['pisang coklat keju', 'penyetan', 'teh']",False,False
152,2PNVjIZY9hxzo6aSkEET,['risol mayo'],False,False
153,2QXVTmhXDLsWxBL4SqYY,"['air putih', 'gorengan']",False,False
154,2QlIqnFgGU9vDZR1Z9eI,"['penyetan', 'penyetan', 'teh', 'mie', 'gorengan']",True,False
155,2UVUB4t4naatTvVTkdHJ,['gorengan'],False,False
156,2WJjZX4eho13FjYAbABw,"['sayur harian', 'teh']",True,False
157,2WUGa3UeGwJ68RVqY0Nv,"['gorengan', 'es krim']",True,False
158,2Y4MLh9RsYq4TF94IZab,"['kopi', 'kopi']",False,True
159,2YtkKEawbXq5QTM0keZ7,"['mie', 'float']",True,True
160,2Z97jXzF4tQGPIOMLXKu,['gorengan'],True,False
161,2ZbXw39AqQoUZaXIgnVM,"['teh', 'risol mayo', 'es jeruk']",True,False
